Title,Movie Info,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime,License,Release Year
Ford v Fe,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,Twentieth Century Fox,"November 13, 2019",117624357,107883853,225508210,action biography drama sport,2 hr 32 min,PG-13,rari
Big Momma's ,"In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.",Twentieth Century Fox,"June 2, 2000",117559438,56400000,173959438,action comedy crime,1 hr 39 min,PG-13,ouse
Die H,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",Twentieth Century Fox,"July 6, 1990",117540947,122490327,240031274,action thriller,2 hr 4 min,,rd 2
Horrible B,Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.,Warner Bros.,"July 7, 2011",117538559,92300000,209838559,comedy crime,1 hr 38 min,R,sses
Th,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,Warner Bros.,"September 5, 2018",117450119,248101575,365551694,horror mystery thriller,1 hr 36 min,R, Nun
Jacka,"Johnny Knoxville and company return for the third installment of their TV show spin-off, where dangerous stunts and explicit public displays rule.",Paramount Pictures,"October 15, 2010",117229692,54456100,171685792,action comedy documentary,1 hr 35 min,R,s 3D
Ocean's Thi,"Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",Warner Bros.,,117154724,194157900,311312624,crime thriller,2 hr 2 min,,teen
Jungle C,Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,Walt Disney Studios Motion Pictures,,116987516,103901930,220889446,action adventure comedy fantasy,2 hr 7 min,,uise
S.W,"An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it.",Sony Pictures Entertainment (SPE),"August 8, 2003",116934650,90790989,207725639,action adventure crime thriller,1 hr 57 min,PG-13,A.T.
The Wolf of Wall S,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Paramount Pictures,"December 25, 2013",116900694,275100000,392000694,biography comedy crime drama,3 hr,R,reet
8,"A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",Universal Pictures,"November 8, 2002",116750901,126124177,242875078,drama music,1 hr 50 min,R,Mile
Double Jeo,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.",Paramount Pictures,"September 24, 1999",116741558,61100000,177841558,crime drama mystery thriller,1 hr 45 min,R,ardy
Lee Daniels' The B,"As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.",The Weinstein Company,"August 16, 2013",116632095,60681700,177313795,biography drama,2 hr 12 min,PG-13,tler
Green La,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",Warner Bros.,"June 15, 2011",116601172,103250000,219851172,action adventure scifi,1 hr 54 min,PG-13,tern
Notting,The life of a simple bookshop owner changes when he meets the most famous film star in the world.,Universal Pictures,"May 28, 1999",116089678,247800000,363889678,comedy drama romance,2 hr 4 min,PG-13,Hill
You've Got,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet both blissfully unaware that he's trying to put her out of business.",Warner Bros.,"December 18, 1998",115821495,135000000,250821495,comedy drama romance,1 hr 59 min,PG,Mail
Ghost ,"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.",Sony Pictures Entertainment (SPE),"February 14, 2007",115802596,112935797,228738393,action fantasy thriller,1 hr 50 min,PG-13,ider
Remember the T,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,Walt Disney Studios Motion Pictures,"September 29, 2000",115719751,21051932,136771683,biography drama sport,1 hr 53 min,PG,tans
Cre,"Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",Metro-Goldwyn-Mayer (MGM),"November 21, 2018",115715889,98500000,214215889,drama sport,2 hr 10 min,PG-13,d II
Distr,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,TriStar Pictures,"August 13, 2009",115646235,95242715,210888950,action scifi thriller,1 hr 52 min,R,ct 9
Unb,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",Universal Pictures,"December 25, 2014",115637895,45821402,161459297,action biography drama sport war,2 hr 17 min,PG-13,oken
Peter R,Feature adaptation of Beatrix Potter's classic tale of a rebellious rabbit trying to sneak into a farmer's vegetable garden.,Sony Pictures Entertainment (SPE),"February 8, 2018",115253424,236242642,351496066,adventure animation comedy crime drama family fantasy,1 hr 35 min,PG,bbit
Girls,"When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling and romancing to make the Big Easy blush.",Universal Pictures,"July 21, 2017",115171585,25380774,140552359,adventure comedy drama,2 hr 2 min,R,Trip
,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",Walt Disney Studios Motion Pictures,"March 27, 2019",114766307,238518314,353284621,adventure family fantasy,1 hr 52 min,PG,umbo
Fifty Shades D,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",Universal Pictures,"February 8, 2017",114581250,266964596,381545846,drama romance,1 hr 58 min,R,rker
Dodgeball: A True Underdog ,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,Twentieth Century Fox,"June 18, 2004",114326736,54096491,168423227,comedy sport,1 hr 32 min,PG-13,tory
The Vi,A series of events tests the beliefs of a small isolated countryside village.,Walt Disney Studios Motion Pictures,"August 13, 2003",114197520,142500000,256697520,drama mystery thriller,1 hr 48 min,PG-13,lage
,The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.,Walt Disney Studios Motion Pictures,"November 21, 2008",114053579,195926415,309979994,adventure animation comedy crime drama family scifi,1 hr 36 min,PG,Bolt
Maleficent: Mistress of,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies and dark new forces at play.",Walt Disney Studios Motion Pictures,"October 16, 2019",113929605,377800484,491730089,adventure family fantasy,1 hr 59 min,PG,Evil
Wild Wild,"The two best special agents in the Wild West must save President Grant from the clutches of a diabolical, wheelchair-bound, steampunk-savvy, Confederate scientist bent on revenge for losing the Civil War.",Warner Bros.,"June 30, 1999",113804681,108300000,222104681,action comedy scifi western,1 hr 46 min,PG-13,West
Night at the Museum: Secret of the,"Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",Twentieth Century Fox,"December 17, 2014",113746621,249458014,363204635,adventure comedy family fantasy,1 hr 38 min,PG,Tomb
Magic,"A male stripper teaches a younger performer how to party, pick up women, and make easy money.",Warner Bros.,"June 28, 2012",113721571,54018390,167739961,comedy drama,1 hr 50 min,R,Mike
The Addams F,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,Paramount Pictures,"November 22, 1991",113502426,78000000,191502426,comedy fantasy,1 hr 39 min,,mily
The Pa,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,Sony Pictures Entertainment (SPE),"June 28, 2000",113330342,101964000,215294342,action drama history war,2 hr 45 min,R,riot
Bad,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",STX Entertainment,"July 28, 2016",113257297,70678777,183936074,comedy,1 hr 40 min,R,Moms
The Bourne L,"An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.",Universal Pictures,"August 8, 2012",113203870,162940880,276144750,action adventure thriller,2 hr 15 min,PG-13,gacy
The Pac,"Having recovered from wounds received in a failed rescue operation, Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains in the kids' house.",Walt Disney Studios Motion Pictures,"March 4, 2005",113086868,85550000,198636868,action comedy drama family,1 hr 35 min,PG,fier
Dr. Dolit,Dolittle must save a forest and a bear's life.,Twentieth Century Fox,"June 22, 2001",112952899,63151445,176104344,comedy family fantasy,1 hr 27 min,PG,le 2
It's Compli,"When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried.",Universal Pictures,"December 23, 2009",112735375,106368280,219103655,comedy drama romance,2 hr 1 min,R,ated
